8000	0.1040
8001	0.1029
8002	0.1017
8003	0.1005
8004	0.0993
8005	0.0982
8006	0.0974
8007	0.0968
8008	0.0964
8009	0.0963
8010	0.0963
8011	0.0965
8012	0.0971
8013	0.0980
8014	0.0992
8015	0.1005
8016	0.1020
8017	0.1036
8018	0.1053
8019	0.1070
8020	0.1088
8021	0.1107
8022	0.1126
8023	0.1146
8024	0.1166
8025	0.1187
8026	0.1209
8027	0.1230
8028	0.1250
8029	0.1267
8030	0.1283
8031	0.1297
8032	0.1310
8033	0.1323
8034	0.1336
8035	0.1349
8036	0.1362
8037	0.1376
8038	0.1389
8039	0.1402
8040	0.1414
8041	0.1425
8042	0.1435
8043	0.1445
8044	0.1454
8045	0.1462
8046	0.1471
8047	0.1480
8048	0.1488
8049	0.1496
8050	0.1503
8051	0.1509
8052	0.1513
8053	0.1515
8054	0.1515
8055	0.1513
8056	0.1509
8057	0.1502
8058	0.1493
8059	0.1481
8060	0.1467
8061	0.1451
8062	0.1434
8063	0.1416
8064	0.1398
8065	0.1380
8066	0.1361
8067	0.1343
8068	0.1323
8069	0.1303
8070	0.1281
8071	0.1259
8072	0.1237
8073	0.1216
8074	0.1194
8075	0.1173
8076	0.1152
8077	0.1130
8078	0.1107
8079	0.1084
8080	0.1061
8081	0.1038
8082	0.1015
8083	0.0992
8084	0.0969
8085	0.0947
8086	0.0925
8087	0.0904
8088	0.0884
8089	0.0866
8090	0.0850
8091	0.0835
8092	0.0823
8093	0.0813
8094	0.0804
8095	0.0795
8096	0.0786
8097	0.0777
8098	0.0769
8099	0.0761
8100	0.0755
8101	0.0751
8102	0.0749
8103	0.0748
8104	0.0749
8105	0.0750
8106	0.0753
8107	0.0757
8108	0.0764
8109	0.0773
8110	0.0786
8111	0.0801
8112	0.0820
8113	0.0843
8114	0.0869
8115	0.0898
8116	0.0931
8117	0.0967
8118	0.1006
8119	0.1048
8120	0.1092
8121	0.1138
8122	0.1185
8123	0.1230
8124	0.1274
8125	0.1315
8126	0.1351
8127	0.1383
8128	0.1412
8129	0.1437
8130	0.1460
8131	0.1481
8132	0.1500
8133	0.1517
8134	0.1532
8135	0.1545
8136	0.1556
8137	0.1564
8138	0.1571
8139	0.1577
8140	0.1582
8141	0.1588
8142	0.1593
8143	0.1598
8144	0.1603
8145	0.1607
8146	0.1610
8147	0.1612
8148	0.1612
8149	0.1610
8150	0.1606
8151	0.1600
8152	0.1594
8153	0.1587
8154	0.1580
8155	0.1574
8156	0.1568
8157	0.1563
8158	0.1559
8159	0.1554
8160	0.1548
8161	0.1542
8162	0.1535
8163	0.1528
8164	0.1519
8165	0.1508
8166	0.1496
8167	0.1483
8168	0.1468
8169	0.1453
8170	0.1437
8171	0.1421
8172	0.1405
8173	0.1390
8174	0.1376
8175	0.1363
8176	0.1351
8177	0.1339
8178	0.1327
8179	0.1316
8180	0.1303
8181	0.1290
8182	0.1276
8183	0.1260
8184	0.1244
8185	0.1228
8186	0.1212
8187	0.1195
8188	0.1178
8189	0.1160
8190	0.1141
8191	0.1122
8192	0.1103
8193	0.1083
8194	0.1062
8195	0.1042
8196	0.1022
8197	0.1003
8198	0.0985
8199	0.0967
8200	0.0949
8201	0.0931
8202	0.0911
8203	0.0890
8204	0.0869
8205	0.0847
8206	0.0825
8207	0.0803
8208	0.0782
8209	0.0761
8210	0.0740
8211	0.0721
8212	0.0702
8213	0.0685
8214	0.0669
8215	0.0655
8216	0.0644
8217	0.0635
8218	0.0629
8219	0.0625
8220	0.0624
8221	0.0625
8222	0.0628
8223	0.0631
8224	0.0636
8225	0.0642
8226	0.0649
8227	0.0656
8228	0.0663
8229	0.0670
8230	0.0677
8231	0.0684
8232	0.0691
8233	0.0698
8234	0.0704
8235	0.0711
8236	0.0717
8237	0.0723
8238	0.0730
